shortcode,owner,comment,likes,text,location,post_likes,taken_at_timestamp
CCeQhk1hDX0,sabora_1998,#سپاه_پاسداران,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,sabora_1998,#سپاه_قدس,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,sabora_1998,#قاسم_سلیمانی,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,sabora_1998,"America is on the verge of extinction👊👊
Trump, wait for the whole of America to catch fire✌
Qassem Soleimani's forces are coming you✌✌🇮🇷🇮🇷🇮🇷
You are a terrorist",0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,invisible_quest_,You sir are one great american,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,forourbattle,"🔥Amen. The indoctrination of my childhood prevented me from having a healthy relationship and I got dumped instead of married, because my weird unhealthy liberal indoctrination isn't uprooted all the way and I'm unable to connect with the man I love who did not get indoctrinated as a child",0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,ilustrejoseh,"ATTENTION: 🇺🇸19 / 07 / 2020🇻🇪 His Excellency President mr. @realdonaldtrump. The figure of the President of the United States has taken unimaginable and unsuspected proportions for Latin America and especially Venezuela and the world, the causes are as many or many. China, Iran, Cuba, Nicaragua and Venezuela. It's up to you. guarantee the fulfillment of human rights, help Venezuelans to regain their freedom and democracy, the open and frontal fight against mega criminal organizations and global drug trafficking. The Chinese virus (covi 19) is not a fortuitous case as China declares war on the existence of life in humanity, overwhelmingly with its accomplices, China lied to the world. Me In my opinion, how @jguaido needs the support of the United States. President Real Donal TRUMP has demonstrated with firm determination, his struggles in defense of democracy and life on the planet are nothing ... tremendous responsibility, could well be dedicated to his wife, children and grandchildren, you give yourself body soul and heart in defense of the most precious things on the planet the care and protection of its inhabitants on the planet and in Defense of Democracy. In my opinion, it is time for all the countries of the democratic world to close ranks and all those who feel life as the most sacred of humanity, unite in one voice a single cause. Protecting life on the planet is everyone's job ... 🇺🇸🌄. So, as part and in gratitude for defending my life and that of my loved ones; Just as there is a law to sanction the President for treason and other crimes and serious crimes, I respectfully request the United States Senate and the institutions of the Democratic world to be granted the highest recognition in their first and only class, for protecting life. in the planet. ****** CIRO EL GRANDE ***** ""@vp #maga @writehouse @firstfamilytrumps @ivankatrump @usembassyve @bundeskanzlerin #europa2020de #europe @parlamentoeuropeo @coalicionddhhydemocracia",0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,queencess_trish,The true first black president #blackgurl4trump,1, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,andrewj.h,Preach Mr. President,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,marcian1973,So sad been saying this for years😢,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,teresaherrera7508,"Amen, thank you",0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,robertmalanders,Thank you,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,jamielenbert,👏🏻,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,lukelafay,Ladies and gentlemen this is why we need president trump.,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,plsrcycl,❤️💯🇺🇸Thank you Mr. President,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,mbormann1946,Amen‼️🇺🇸,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,fearlessmdr,https://youtu.be/p00fxoDpaIo,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,fra_n64,👏👏🙌🙌,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,barbellblondiee,Yes!!!!!💗,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,nmadkins59,Amen!,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,sea.annalee2019,Agree,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,parabellumgeneticskc,Love you POTUS🔥🔥🔥,0, , ,657506,2020-07-10 20:09:52
CCeQhk1hDX0,stylingwithmeg,❤️❤️,0, , ,657506,2020-07-10 20:09:52
CCm2t-uB_rK,paula_walla_doodle_,Thank you!!,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,cldurst123,🙌,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,thoha.19,Come in Italy mr. President. We love you. 🇮🇹🇱🇷,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,yolfer76,😊😊,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,teesco99,You need to do something about COVID. People are scared and media controlling the narrative. Stop this madness. What is going on????,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,fearlessmdr,All polls show the majority don’t approve of you and never has. Your response to COVID has cost us all. The only good thing it has done is opened everyone’s eyes as to how incompetent you are and just in time for the election.,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,drew.taylor.712,I'll tell you everything,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,ck_mario_fan,❤️❤️❤️❤️❤️❤️,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,patriot_storm,Best President Ever...Trump 2020,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,angusjh06,Actually the vocal majority will. And the vocal majority hates you,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,dougstinky,Donald post that hog,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,jorgetardo,It was God' design for this leader to lead the USA and no one could stop that even the BIAS media and the fake democrat. If you bless Israel God will bless you,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,jorgetardo,👏,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,ivanhoechaput,First president since Reagan that truly has our nation's people and interests as priority one.,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,blackbutterflyammunition,❤️🇺🇸,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,cwadirondack,@realdonaldtrump yes we will,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,brietrusty,Fire pic of u,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
